URL,House_Type,Region,City,Asking_Price,Municipal_Assessment,Phone_Number
https://duproprio.com/en/lanaudiere/mascouche/home-for-sale/hab-2020-rue-chartrand-1059140,          Intergenerational home  for sale    ,Mascouche,Lanaudière," $788,888"," $417,600",                                        514-746-4172                                    
https://duproprio.com/en/laurentides/mirabel-st-janvier/condo-for-sale/hab-113-14410-rue-roger-thomas-1060194,            Condominium for sale    ,Mirabel (St-Janvier),Laurentides," $475,000"," $347,200",                                        514-946-5959                                    
https://duproprio.com/en/abitibi-temiscamingue/rouyn-noranda-bellecombe/bungalow-for-sale/hab-1356-rte-des-pionniers-1059252,            Bungalow for sale    ,Rouyn-Noranda (Bellecombe),Abitibi-Témiscamingue," $480,000",N/A,                                        514-799-5666                                    
https://duproprio.com/en/chaudiere-appalaches/st-henri-de-levis/semi-detached-for-sale/hab-1514-chemin-du-bord-de-leau-1008043,            Semi-detached for sale    ,St-Henri-de-Lévis,Chaudière-Appalaches," $439,000",N/A,                                        418-809-8992                                    
https://duproprio.com/en/laval/fabreville/condo-for-sale/hab-101-1245-rue-de-saint-sebastie-1048857,            Condominium for sale    ,Fabreville,Laval," $499,900"," $340,000",                                        514-706-2351                                    
https://duproprio.com/en/lanaudiere/repentigny-repentigny/bungalow-for-sale/hab-124-rue-cherrier-1028685,            Bungalow for sale    ,Repentigny (Repentigny),Lanaudière," $549,000",N/A,                                        514-424-7850                                    
https://duproprio.com/en/quebec-rive-sud/levis/semi-detached-for-sale/hab-1238-rue-marcel-dugas-1059732,            Semi-detached for sale    ,Lévis,Québec Rive-Sud (Lévis)," $309,000"," $239,900",                                        418-254-5907                                    
https://duproprio.com/en/estrie/potton-owls-head/condo-for-sale/hab-102-319-chemin-du-panorama-1059465,            Condominium for sale    ,Potton (Owls Head),Estrie," $975,000",N/A,                                        819-679-8325                                    
https://duproprio.com/en/mauricie/trois-rivieres-pointe-du-lac/semi-detached-for-sale/hab-189-rue-de-montmarte-1059495,            Semi-detached for sale    ,Trois-Rivières (Pointe-Du-Lac),Mauricie," $435,000",N/A,                                        873-253-1922                                    
https://duproprio.com/en/portneuf/st-raymond/semi-detached-for-sale/hab-947-grand-rang-1025909,            New Semi-detached for sale    ,St-Raymond,Portneuf," $220,000",N/A,                                        418-284-4536                                    
https://duproprio.com/en/laurentides/ste-adele/home-for-sale/hab-1701-rue-des-marguerites-1059481,            2 Storey for sale    ,Ste-Adèle,Laurentides," $785,000",N/A,                                        514-941-1421                                    
